"Date","Website","RTB+Impressions","RTB+Grossrevenue"
"2022-10-07T00:00:00","sfatulparintilor.ro","4709","3.240989"
"2022-10-07T00:00:00","sfatulmedicului.ro","16517","10.069674"
"2022-10-07T00:00:00","Bucataras.ro","32190","15.529609"
"2022-10-07T00:00:00","avantaje.ro_HB","598","0.482962"
"2022-10-07T00:00:00","elle.ro_HB","792","0.627901"
"2022-10-07T00:00:00","viva.ro_HB","7021","5.716080"
"2022-10-07T00:00:00","Playsport.ro","75534","40.513583"
"2022-10-07T00:00:00","Ziare.com","85074","51.326557"
"2022-10-07T00:00:00","Playtech.ro","75964","48.694896"
"2022-10-07T00:00:00","gsp.ro","46708","37.636569"
"2022-10-07T00:00:00","Gustos.ro","11998","6.097847"
"2022-10-07T00:00:00","unica.ro","1056","1.085468"
"2022-10-07T00:00:00","libertatea.ro_HB","75830","52.652037"
"2022-10-07T00:00:00","Romaniatv.net","197376","111.578476"
"2022-10-07T00:00:00","libertateapentrufemei.ro","2921","2.513090"
"2022-10-07T00:00:00","divahair.ro","21931","12.383592"
"2022-10-07T00:00:00","tvmania.ro","5730","3.895974"
"2022-10-07T00:00:00","Economica.net","26244","16.538062"
"2022-10-08T00:00:00","sfatulparintilor.ro","5052","2.490028"
"2022-10-08T00:00:00","sfatulmedicului.ro","20491","9.412607"
"2022-10-08T00:00:00","Bucataras.ro","34804","13.695168"
"2022-10-08T00:00:00","avantaje.ro_HB","542","0.696589"
"2022-10-08T00:00:00","elle.ro_HB","751","0.581969"
"2022-10-08T00:00:00","viva.ro_HB","7832","4.206815"
"2022-10-08T00:00:00","Playsport.ro","119249","57.763298"
"2022-10-08T00:00:00","Ziare.com","105377","62.412918"
"2022-10-08T00:00:00","Playtech.ro","169169","76.906765"
"2022-10-08T00:00:00","gsp.ro","44304","35.639889"
"2022-10-08T00:00:00","Gustos.ro","9836","4.332355"
"2022-10-08T00:00:00","unica.ro","1081","0.964698"
"2022-10-08T00:00:00","libertatea.ro_HB","58049","36.732129"
"2022-10-08T00:00:00","Romaniatv.net","242512","107.523486"
